player_id,player_name,total_wpa,batters_faced,role
453286,Max Scherzer,0.8029999999999999,36,pitcher
477132,Clayton Kershaw,-0.0,1,pitcher
592332,Kevin Gausman,-3.1647999999999996,47,pitcher
595014,Blake Treinen,-0.989,10,pitcher
605135,Chris Bassitt,1.5836000000000001,22,pitcher
605483,Blake Snell,-2.175,59,pitcher
607192,Tyler Glasnow,-1.3804,34,pitcher
607455,Anthony Banda,-0.7909999999999999,16,pitcher
622554,Seranthony Domínguez,0.818,22,pitcher
641778,Eric Lauer,0.833,24,pitcher
656546,Jeff Hoffman,1.0639999999999998,20,pitcher
660271,Shohei Ohtani,-0.9421999999999999,38,pitcher
663893,Brendon Little,-0.21999999999999997,6,pitcher
669456,Shane Bieber,0.5851999999999999,27,pitcher
676263,Jack Dreyer,-1.47,13,pitcher
680736,Justin Wrobleski,-0.5196000000000001,20,pitcher
680755,Braydon Fisher,-0.25249999999999984,15,pitcher
683618,Edgardo Henriquez,-0.06000000000000005,10,pitcher
686218,Emmet Sheehan,-1.0114999999999998,21,pitcher
686973,Louis Varland,-0.455,22,pitcher
689254,Mason Fluharty,-0.1976,11,pitcher
694361,Will Klein,-0.6859999999999999,19,pitcher
702056,Trey Yesavage,2.8619999999999997,48,pitcher
808963,Roki Sasaki,1.292,14,pitcher
808967,Yoshinobu Yamamoto,4.6937999999999995,65,pitcher
